eid	fname	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar
339	uw_format_example.xlsx	CE 15:0	2.69		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.19228020014295924
31	uw_format_example.xlsx	CE 14:0	14.2		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7751091703056768
31	uw_format_example.xlsx	CE 15:0	4.12		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.22489082969432314
358	uw_format_example.xlsx	CE 14:0	18.77		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8048885077186964
358	uw_format_example.xlsx	CE 14:1	1.11		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.047598627787307037
358	uw_format_example.xlsx	CE 15:0	3.44		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14751286449399656
226	uw_format_example.xlsx	CE 14:0	18.24		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7879049676025918
226	uw_format_example.xlsx	CE 14:1	1.47		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.06349892008639309
226	uw_format_example.xlsx	CE 15:0	3.44		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14859611231101513
7	uw_format_example.xlsx	CE 14:0	22.37		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7526917900403768
7	uw_format_example.xlsx	CE 14:1	2.32		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.07806191117092866
7	uw_format_example.xlsx	CE 15:0	5.03		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1692462987886945
