feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,-crd1PtefM2-OLE1-wholeCell-trial1,-crd1PtefM2-OLE1-wholeCell-trial2,-crd1PtefM2-OLE1-wholeCell-trial3,-crd1PtefM3-OLE1-wholeCell-trial1,-crd1PtefM3-OLE1-wholeCell-trial2,-crd1PtefM3-OLE1-wholeCell-trial3,fad2-Lkluyveri-0bar-A,fad2-Lkluyveri-0bar-B,fad2-Lkluyveri-0bar-C,fad2-Lkluyveri-250bar-A,fad2-Lkluyveri-250bar-B,fad2-Lkluyveri-250bar-C,FM628-Lkluyveri-0bar-A,FM628-Lkluyveri-0bar-B,FM628-Lkluyveri-0bar-C,FM628-Lkluyveri-250bar-A,FM628-Lkluyveri-250bar-B,FM628-Lkluyveri-250bar-C,PtefM1-OLE1-wholeCell-trial1,PtefM1-OLE1-wholeCell-trial2,PtefM1-OLE1-wholeCell-trial3,PtefM2-OLE1-wholeCell-trial1,PtefM2-OLE1-wholeCell-trial2,PtefM2-OLE1-wholeCell-trial3,PtefM3-OLE1-wholeCell-trial1,PtefM3-OLE1-wholeCell-trial2,PtefM3-OLE1-wholeCell-trial3,PtefM4-OLE1-wholeCell-trial1,PtefM4-OLE1-wholeCell-trial2,PtefM4-OLE1-wholeCell-trial3,wildtype-isolatedMitoplasts-trial1,wildtype-isolatedMitoplasts-trial2,wildtype-isolatedMitoplasts-trial3,wildtype-wholeCell-trial1,wildtype-wholeCell-trial2,wildtype-wholeCell-trial3
,,,,,,,shortname,a10,a11,a12,a13,a14,a15,d1,d2,d3,d7,d8,d9,d4,d5,d6,d10,d11,d12,a16,a17,a18,a4,a5,a6,a7,a8,a9,a19,a20,a21,c1,c2,c3,a1,a2,a3
,,,,,,,cohort,Disease5-Cells,Disease5-Cells,Disease5-Cells,Disease4-Cells,Disease4-Cells,Disease4-Cells,Healthy4,Healthy4,Healthy4,Disease6,Disease6,Disease6,Healthy5,Healthy5,Healthy5,Disease6,Disease6,Disease6,Disease7-Cells,Disease7-Cells,Disease7-Cells,Disease1-Cells,Disease1-Cells,Disease1-Cells,Disease2-Cells,Disease2-Cells,Disease2-Cells,Disease8-Cells,Disease8-Cells,Disease8-Cells,Healthy3,Healthy3,Healthy3,Healthy1,Healthy1,Healthy1
Cer 44:0;3,Cer,SL,MEM,44,0,3,,0.00672702523444668,0.0110743166979011,0.0316549526500823,NA,0.0126924042100549,0.0135794939299178,0.0253255334434337,0.029451347680684,0.037600451281127,0.034825614918174,0.0396792047197979,0.0382807077311052,0.0370851181311958,0.030497242983862,0.0282621793682183,0.036255640173369,0.0410400528507172,0.0429055863035748,0.00985520823539605,0.0089000530943585,0.010003341133649,0.0173548881870158,0.0176217915804274,0.0155611474284422,0.0471720758506735,0.0403386226512694,0.0674277660353515,0.0368753249540194,0.0405312729208947,0.0330149176809366,0.0260901009183871,0.0125979745742363,0.0182145709162934,0.0480885605284905,0.0317455274861893,0.0382330401975289
Cer 44:0;4,Cer,SL,MEM,44,0,4,,0.0955391935203032,0.144839685664623,0.133641258702519,0.0828153520654263,0.151596843404093,0.149144432489237,0.171640855321587,0.230154608268296,0.215376844364203,0.0821514928829769,0.0886330779470507,0.066830797684258,0.227242375602473,0.20348650036094,0.184249026014581,0.0900867273563002,0.0934543892443888,0.0729477278909142,0.113400185655562,0.118543394363393,0.120770364232049,0.136737746425305,0.174486224072663,0.160605603492261,0.144287928640487,0.170327379459683,0.161730413168116,0.139801529358394,0.101295851063532,0.103866787548585,0.0593609173561637,0.0231307910212078,0.0363827156414988,0.122434614551603,0.0980224866122914,0.127809248963978
Cer 44:0;5,Cer,SL,MEM,44,0,5,,0.0246292429845221,0.0264333986418413,0.0204306537767402,0.007846894961349,0.0106709688017029,0.0181126913904345,0.0422458482207705,0.0488787968163488,0.0456185861577097,0.0295534829954546,0.0244241266618407,0.0183910385600557,0.0471431443925053,0.04560442741848,0.0470357149588969,0.0250606007509443,0.0232463537463999,0.0210607182457306,0.0272329937914635,0.0264577106006852,0.0227789720454627,0.0134657093817153,0.0152021891785361,0.0130972990725325,0.0117382620378078,0.0126374851551653,0.012563609261098,0.0149040545676832,0.00971175173768867,0.0101305078957073,0.0150815239089099,0.0122797107092531,0.0100175829736875,0.00871935071732419,0.00724692644824892,0.00852229574761618
Cer 46:0;2,Cer,SL,MEM,46,0,2,,NA,NA,NA,NA,NA,NA,NA,0.0026923537814317,0.00220215476557747,0.00529252634556489,0.00734466196361293,0.00523903622936981,NA,NA,NA,0.00794267497891082,0.00887087230933287,0.00493219279140568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00941524528871235,NA,0.00900167690975829,NA,NA,NA
Cer 46:0;3,Cer,SL,MEM,46,0,3,,NA,NA,0.0142238486728535,NA,NA,0.00328547322317404,0.00483293869845129,0.00698272839767617,0.0101968335236368,0.00960431275464858,0.0142270159700864,0.0109961587331378,0.00808157709098414,0.00716198013804636,0.0058412688125785,0.012191115588291,0.0148462554747082,0.0124174738639047,NA,NA,NA,0.00596505995999676,0.00471262376206834,0.00415821938740141,0.00967837408157291,0.00975485521608586,0.0172624063656559,0.00998238972290333,0.00904293405387264,0.00782376500804084,0.0516276094537703,0.0280295982463071,0.0441525380719927,0.0142027984693948,0.0100982204129309,0.0120016028980595
Cer 46:0;4,Cer,SL,MEM,46,0,4,,0.0292712212845613,0.0431870042455621,0.0392596210635449,0.0196599562505817,0.0354081656017844,0.0397809385964765,0.0983939078036265,0.10032010143883,0.111224846586518,0.0566895161722693,0.0563272993260341,0.0395998390049612,0.101369753432535,0.128557233945613,0.098724121864407,0.0582879401774129,0.0551985276191715,0.0495467294817039,0.0425849931894798,0.0444127050918486,0.0442964804736897,0.0320585237457091,0.0393259926004066,0.041237673446778,0.0287653747335314,0.0356325799880659,0.0323243531425696,0.0307755026213791,0.0224249001558724,0.0228162409454969,0.116965264305959,0.0436541772689378,0.0700058810478983,0.0297056183480913,0.0250566147696506,0.0338647201676672
Cer 46:0;5,Cer,SL,MEM,46,0,5,,NA,NA,NA,NA,NA,NA,0.0063517705637891,0.00624558748001909,0.00731821071420428,0.00602626463426467,0.00444528715781,NA,0.00675568343224386,0.00814389021832816,0.00727867191681603,0.00432492260427222,0.00400025448273946,0.00427315342035433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 56:1;0,CL,GPL,MEM,56,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267755704793747,0.0450521384527475,NA,NA,0.0221393436821468,0.0265903827152204,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 56:2;0,CL,GPL,MEM,56,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00853788652658268,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL 58:1;0,CL,GPL,MEM,58,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0748199013772693,0.0853630369853267,0.0794126181272138,0.0988363695145762,0.155832092669234,0.131898908836014,0.0613112881697087,0.0748994002821037,0.0592336764986997,NA,NA,NA,NA,NA,NA,NA,NA,NA
